5.584694	5.584694	
6.219615	6.219615	
6.854536	6.854536	
8.079025	8.079025	
8.623243	8.623243	
9.303515	9.303515	
9.847733	9.847733	
10.482654	10.482654	
11.707143	11.707143	
12.251361	12.251361	
12.840930	12.840930	
13.385148	13.385148	
13.929366	13.929366	
14.440582	14.440582	
15.063152	15.063152	
16.390695	16.390695	
16.844210	16.844210	
17.524482	17.524482	
18.068699	18.068699	
18.612917	18.612917	
19.202486	19.202486	
19.746704	19.746704	
20.381625	20.381625	
21.152600	21.152600	
22.150332	22.150332	
23.451810	23.451810	
23.950676	23.950676	
24.676300	24.676300	
25.220518	25.220518	
25.900790	25.900790	
26.535710	26.535710	
27.170631	27.170631	
27.850903	27.850903	
28.395121	28.395121	
29.030041	29.030041	
29.619611	29.619611	
30.708046	30.708046	
31.932536	31.932536	
33.610540	33.610540	
36.811575	36.811575	
37.945362	37.945362	
38.489579	38.489579	
