2.7019	2.7019	beat-1
3.2097	3.2097	beat-2
3.5048	3.5048	beat-3
3.6855	3.6855	beat-4
3.9000	3.9000	beat-5
4.1753	4.1753	beat-6
4.5749	4.5749	beat-7
4.8188	4.8188	beat-8
5.2067	5.2067	beat-9
5.4543	5.4543	beat-10
5.8875	5.8875	beat-11
6.1458	6.1458	beat-12
6.3924	6.3924	beat-13
6.7922	6.7922	beat-14
7.4730	7.4730	beat-15
7.7074	7.7074	beat-16
8.1073	8.1073	beat-17
8.8550	8.8550	beat-18
9.2297	9.2297	beat-19
9.4739	9.4739	beat-20
10.1445	10.1445	beat-21
10.8241	10.8241	beat-22
11.4703	11.4703	beat-23
11.7049	11.7049	beat-24
11.8777	11.8777	beat-25
12.7761	12.7761	beat-26
13.4199	13.4199	beat-27
13.8516	13.8516	beat-28
14.1224	14.1224	beat-29
15.4585	15.4585	beat-30
16.1095	16.1095	beat-31
16.5373	16.5373	beat-32
16.7652	16.7652	beat-33
16.9965	16.9965	beat-34
17.1926	17.1926	beat-35
17.4199	17.4199	beat-36
17.8355	17.8355	beat-37
18.0763	18.0763	beat-38
18.5383	18.5383	beat-39
18.7652	18.7652	beat-40
20.1482	20.1482	beat-41
20.8140	20.8140	beat-42
21.2338	21.2338	beat-43
21.4725	21.4725	beat-44
21.6905	21.6905	beat-45
21.9110	21.9110	beat-46
22.1360	22.1360	beat-47
22.7944	22.7944	beat-48
23.0420	23.0420	beat-49
23.2647	23.2647	beat-50
23.4997	23.4997	beat-51
23.7184	23.7184	beat-52
