2.7885	2.7885	beat-1
2.9306	2.9306	beat-2
3.0678	3.0678	beat-3
3.2658	3.2658	beat-4
3.4921	3.4921	beat-5
3.7645	3.7645	beat-6
4.0911	4.0911	beat-7
4.2625	4.2625	beat-8
4.7284	4.7284	beat-9
5.3404	5.3404	beat-10
5.8953	5.8953	beat-11
6.4813	6.4813	beat-12
7.0450	7.0450	beat-13
7.3083	7.3083	beat-14
7.5912	7.5912	beat-15
7.8750	7.8750	beat-16
8.1191	8.1191	beat-17
8.2681	8.2681	beat-18
8.5140	8.5140	beat-19
8.7343	8.7343	beat-20
9.3347	9.3347	beat-21
9.8239	9.8239	beat-22
10.4843	10.4843	beat-23
10.8475	10.8475	beat-24
11.1358	11.1358	beat-25
11.6687	11.6687	beat-26
11.8093	11.8093	beat-27
12.0488	12.0488	beat-28
12.2137	12.2137	beat-29
12.5270	12.5270	beat-30
12.8362	12.8362	beat-31
13.0027	13.0027	beat-32
13.3706	13.3706	beat-33
13.9162	13.9162	beat-34
15.1609	15.1609	beat-35
15.2937	15.2937	beat-36
15.6600	15.6600	beat-37
16.7972	16.7972	beat-38
17.9046	17.9046	beat-39
18.4492	18.4492	beat-40
19.1096	19.1096	beat-41
20.4147	20.4147	beat-42
20.6290	20.6290	beat-43
20.7541	20.7541	beat-44
20.9022	20.9022	beat-45
21.1080	21.1080	beat-46
21.3402	21.3402	beat-47
21.4860	21.4860	beat-48
21.6137	21.6137	beat-49
21.8638	21.8638	beat-50
22.1075	22.1075	beat-51
22.2979	22.2979	beat-52
25.9115	25.9115	beat-53
26.0615	26.0615	beat-54
26.2457	26.2457	beat-55
26.4985	26.4985	beat-56
26.8578	26.8578	beat-57
29.0092	29.0092	beat-58
29.2367	29.2367	beat-59
32.1747	32.1747	beat-60
32.4120	32.4120	beat-61
32.7686	32.7686	beat-62
33.0507	33.0507	beat-63
33.9959	33.9959	beat-64
