3.0595	3.0595	beat-1
3.3131	3.3131	beat-2
3.5767	3.5767	beat-3
3.8702	3.8702	beat-4
4.3808	4.3808	beat-5
4.6581	4.6581	beat-6
5.1457	5.1457	beat-7
5.4023	5.4023	beat-8
5.8308	5.8308	beat-9
6.0860	6.0860	beat-10
6.3442	6.3442	beat-11
6.8392	6.8392	beat-12
7.0814	7.0814	beat-13
7.3098	7.3098	beat-14
7.5685	7.5685	beat-15
8.0418	8.0418	beat-16
8.3886	8.3886	beat-17
8.5955	8.5955	beat-18
8.8203	8.8203	beat-19
9.0832	9.0832	beat-20
9.8667	9.8667	beat-21
10.5938	10.5938	beat-22
11.3397	11.3397	beat-23
12.0500	12.0500	beat-24
12.8126	12.8126	beat-25
13.0578	13.0578	beat-26
13.3136	13.3136	beat-27
13.5537	13.5537	beat-28
14.2622	14.2622	beat-29
14.5598	14.5598	beat-30
14.8383	14.8383	beat-31
