2.4204	2.4204	beat-1
2.5743	2.5743	beat-2
2.9465	2.9465	beat-3
3.5268	3.5268	beat-4
3.7753	3.7753	beat-5
4.0507	4.0507	beat-6
4.6637	4.6637	beat-7
5.2935	5.2935	beat-8
5.4187	5.4187	beat-9
5.8677	5.8677	beat-10
6.4332	6.4332	beat-11
6.5807	6.5807	beat-12
7.0215	7.0215	beat-13
7.6082	7.6082	beat-14
8.1801	8.1801	beat-15
8.5297	8.5297	beat-16
8.7715	8.7715	beat-17
9.0651	9.0651	beat-18
9.2493	9.2493	beat-19
9.9261	9.9261	beat-20
10.1660	10.1660	beat-21
10.3987	10.3987	beat-22
11.2987	11.2987	beat-23
11.5021	11.5021	beat-24
11.6602	11.6602	beat-25
11.8436	11.8436	beat-26
13.3972	13.3972	beat-27
13.9645	13.9645	beat-28
14.1086	14.1086	beat-29
14.4987	14.4987	beat-30
15.0318	15.0318	beat-31
15.6098	15.6098	beat-32
16.2193	16.2193	beat-33
16.7996	16.7996	beat-34
17.3780	17.3780	beat-35
18.5161	18.5161	beat-36
19.0775	19.0775	beat-37
19.6523	19.6523	beat-38
19.7937	19.7937	beat-39
20.2572	20.2572	beat-40
21.4400	21.4400	beat-41
