3.0647	3.0647	beat-1
3.4327	3.4327	beat-2
3.8903	3.8903	beat-3
4.1603	4.1603	beat-4
4.5813	4.5813	beat-5
4.9187	4.9187	beat-6
5.3412	5.3412	beat-7
5.5400	5.5400	beat-8
6.0883	6.0883	beat-9
6.4178	6.4178	beat-10
6.8143	6.8143	beat-11
7.5742	7.5742	beat-12
7.9363	7.9363	beat-13
9.0690	9.0690	beat-14
9.4289	9.4289	beat-15
9.8228	9.8228	beat-16
10.5374	10.5374	beat-17
10.9390	10.9390	beat-18
11.3252	11.3252	beat-19
12.1055	12.1055	beat-20
12.8772	12.8772	beat-21
13.6137	13.6137	beat-22
13.9533	13.9533	beat-23
14.3150	14.3150	beat-24
15.0590	15.0590	beat-25
15.4465	15.4465	beat-26
15.8450	15.8450	beat-27
16.5446	16.5446	beat-28
16.9170	16.9170	beat-29
17.2832	17.2832	beat-30
18.1208	18.1208	beat-31
18.4358	18.4358	beat-32
18.8472	18.8472	beat-33
19.9423	19.9423	beat-34
20.2940	20.2940	beat-35
21.1758	21.1758	beat-36
21.5398	21.5398	beat-37
21.8837	21.8837	beat-38
22.2435	22.2435	beat-39
22.5733	22.5733	beat-40
22.9164	22.9164	beat-41
23.2432	23.2432	beat-42
23.3639	23.3639	beat-43
23.6809	23.6809	beat-44
24.8720	24.8720	beat-45
25.3565	25.3565	beat-46
25.5689	25.5689	beat-47
