0.0310	0.2710	good
0.2910	0.5120	stuff,
0.5320	0.6120	our
0.6520	0.9320	last
0.9520	1.2330	jeté,
1.5130	1.6330	we'll
1.6730	1.7330	do
1.7730	2.0340	facing
2.0740	2.1540	the
2.1740	2.3540	barre
2.3940	2.6750	today.
3.0150	3.1750	with
3.2350	3.2560	a
3.2960	3.6760	coupé,
3.8560	3.9560	up
4.1970	4.3170	and
4.3770	4.6770	first,
4.6980	4.8980	coup,
5.0580	5.1580	up
5.3580	5.4590	and
5.5390	5.7590	first,
5.8590	6.2600	coup,
6.2800	6.4000	up
6.5200	6.6400	and
6.7000	6.9810	first,
7.0010	7.2810	coup,
7.4010	7.4810	up
7.6220	7.7420	and
7.8220	8.0620	first,
8.0820	8.3430	same
8.4030	8.6230	with
8.6830	8.8830	the
8.9430	9.1440	left
9.2240	9.5040	coupé,
9.6040	9.6840	up
9.8450	9.9450	and
10.0250	10.9460	first,
10.9660	11.0860	and
11.1470	11.5470	first,
11.5670	11.7670	and
11.8270	11.9480	up
12.0680	12.1680	and
12.2480	12.4880	first,
12.5480	12.7090	then
12.7890	13.0490	first,
13.3700	13.6900	two,
13.8700	14.2110	three,
14.3310	14.4710	you
14.5110	14.7920	hold,
14.8920	15.0120	and
15.0520	15.5730	first,
15.5930	15.8530	two,
16.0530	16.3540	three,
16.4140	16.6340	you
16.6740	16.8950	hold,
17.3750	17.5350	out,
18.1360	18.7770	plié,
18.9770	19.4380	second,
19.6380	19.9990	up,
20.0190	20.4400	two,
20.5600	20.8200	first,
21.3610	21.4810	and
21.6210	21.8620	coup,
22.0020	22.1020	and
22.1620	22.3620	first,
22.3820	22.4620	then
22.4820	22.5830	coup,
22.6030	22.6830	then
22.7030	22.9230	coup,
23.4240	23.4840	and
23.5040	23.6240	first,
23.6440	23.7240	then
23.7640	23.9840	coup,
24.1250	24.2050	and
24.2650	24.5450	first,
24.5650	24.7260	then
24.7860	25.1060	coup,
25.1260	25.2260	and
25.3060	25.5670	first,
25.5870	25.7070	with
25.7470	25.8470	the
25.8870	26.5280	right,
27.8070	28.3290	five,
28.4290	28.8710	six,
28.8910	29.3930	seven,
29.5130	29.6330	eight,
29.6740	30.5570	tri-chaté
30.6170	30.6970	in
30.7570	30.9380	the
31.0180	31.8210	first,
31.8410	32.6840	tri-chaté
32.7440	32.8450	in
32.9050	33.0860	the
33.1660	33.4070	first,
33.9290	34.1900	brush
34.3500	34.4710	out,
35.1330	35.8150	plié,
36.2970	36.3970	up,
37.1400	38.0030	close,
